name,city,type,website,instagram,email
DEEPINPARIS vintage store,Paris,clothes,https://www.instagram.com/deepinparis.vintage/,,
Exaltation,Paris,clothes,https://www.exaltation.fr/,https://www.instagram.com/exaltationparis/,
Dries Van Noten,Paris,clothes,https://www.driesvannoten.com,https://www.instagram.com/driesvannoten/,
Hindbag,Paris,clothes,https://hindbag.fr,https://www.instagram.com/hindbag/,
Petit Bateau,Paris,clothes,https://stores.petit-bateau.com/france/paris/53-bis-rue-de-sevres,,
Vintage Century,Paris,clothes,https://www.vintagecentury.com,https://instagram.com/vintagecenturyofficial,
Philea,Paris,clothes,https://www.metamorphose.fr,https://www.instagram.com/metamorphoseshop/,
La Cerise sur le Chapeau,Paris,clothes,https://lacerisesurlechapeau.com/,,
Veja Store,Paris,shoes,https://www.veja-store.com/fr_fr/shop-view-paris,https://www.instagram.com/veja/,
Weekday,Paris,clothes,https://www.weekday.com/en-dk/store-locator/,https://www.instagram.com/weekdayofficial/,
Soeur,Paris,clothes,https://www.soeur.fr/blogs/stores,https://www.instagram.com/soeur_paris/,
Histoire Perle,Paris,jewelry,http://histoireperle.free.fr,,
Les Brodeuses,Paris,clothes,https://lesbrodeuses.squarespace.com,,
Sézane et Octobre,Paris,clothes,https://www.sezane.com,,
Espace Loggia,Paris,furniture,https://www.espace-loggia.com/fr/qr-code-bac.html,https://www.instagram.com/espaceloggia/,
Mansano,Paris,jewelry,https://www.mansano.fr,https://www.instagram.com/mansano_paris/,
Bensimon,Paris,clothes,https://www.bensimon.com,https://www.instagram.com/bensimoncollection/,
BBB Shop,Paris,shoes,https://bbbshop-paris.com/,https://instagram.com/bbbshopparis11eme?igshid=NDBlY2NjN2I=,
Tilt Vintage,Paris,clothes,https://www.tilt-vintage.com,"https://www.instagram.com/tilt_vintage/ ",
Birdy Joaillerie,Paris,jewelry,https://www.birdyboutique.fr,https://www.instagram.com/birdy_paris/,
noyoco,Paris,clothes,https://noyoco.com,https://instagram.com/noyoco,
Filandia,Paris,clothes,https://filandia.fr/,https://www.instagram.com/filandia.boutique/,
État de Siège,Paris,furniture,https://etatdesiege.com,https://www.instagram.com/etatdesiegeparis/,
Shift dépôt-vente,Paris,clothes,https://www.shift-store.fr/,https://www.instagram.com/shift_store_paris/,
Juliette Ozouf,Paris,clothes,https://julietteozouf.com,https://www.instagram.com/julietteozouf,
Uncouture,Paris,clothes,https://www.uncouture.fr,https://instagram.com/uncoutureparis?igshid=18po28exykslz,
Meubles et Lumières,Paris,furniture,https://www.meublesetlumieres.com,,
Downtown,Paris,furniture,https://www.galeriedowntown.com,https://www.instagram.com/laffanourgaleriedowntown/,
Pascal Cuisinier,Paris,furniture,https://www.galeriepascalcuisinier.com,https://www.instagram.com/galeriepascalcuisinier/,
Mazlo,Paris,jewelry,https://www.la-joaillerie-par-mazlo.fr,,
Phileo,Paris,shoes,https://phileo.paris,https://www.instagram.com/phileoparis,
Monic,Paris,jewelry,https://www.bijouxmonic.fr,https://www.instagram.com/bijouxmonic/,
Beige,Paris,clothes,https://www.beige-paris.com,https://www.instagram.com/dauphin_beige_paris_/,
Poolday,Paris,clothes,https://poolday-paris.com,,
Gudule,Paris,jewelry,https://www.gudule.com/,,
Gilles Renaux,Paris,jewelry,https://gillesrenaux.com,https://www.instagram.com/gillesrenaux,
Blandin & Delloye,Paris,clothes,https://www.blandindelloye.com,https://www.instagram.com/blandindelloye/,
La Lueur de l'Aube,Paris,jewelry,https://la-lueur.com,http://www.instagram.com/LALUEURDELAUBE,
Jacques Solovière,Paris,shoes,https://www.jacquessoloviereparis.com,https://www.instagram.com/jacquessoloviereparis/,
Pronuptia,Paris,clothes,https://pronuptia.fr/rdv-boutique-a-paris/,https://www.instagram.com/pronuptiaparis/,
Amélie Blaise,Paris,jewelry,https://amelieblaise.bigcartel.com/,https://www.instagram.com/amelieblaise_bijoux/,
Godot & Fils,Paris,jewelry,https://godotetfils-paris16.com/,https://www.instagram.com/godot_et_fils_1933/?hl=fr,
Père Tanguy Bijoux,Paris,jewelry,https://www.facebook.com/lesateliersduperetanguy/,,
Faguo,Paris,clothes,https://www.faguo-store.com/fr/boutique/412-boutique-marais-faguo,,
KnowledgeCotton Apparel Paris Concept Store,Paris,clothes,https://knowledgecottonapparel.com/,https://www.instagram.com/knowledgecottonapparel/,
Faguo,Paris,clothes,https://www.faguo-store.com/fr/boutique/960-boutique-faubourg-saint-antoine-faguo,https://www.instagram.com/faguo/?hl=fr,
Yi'ness,Paris,clothes,https://www.instagram.com/yiness_paris/,,
Paire & Fils,Paris,shoes,https://fr.pairetfils.com/boutiques.html,https://www.instagram.com/paire_et_fils/,
Atelier Choux,Paris,clothes,https://atelierchoux.com,https://www.instagram.com/atelierchouxparis/?hl=en,
Nevice,Paris,clothes,https://www.nevice.eu/fr/,https://www.instagram.com/nevice.eu/,
Attitude Diffusion,Paris,clothes,https://www.attitude-diffusion.com,https://www.instagram.com/attitude_diffusion/,
la capsuline,Paris,clothes,https://lacapsuline.fr/,https://www.instagram.com/lacapsuline,
Pierre Augustin Rose,Paris,furniture,https://pierreaugustinrose.com,,
Sandrine Philippe,Paris,clothes,https://sandrinephilippe.com,,
Anne Jacquemin Sablon,Paris,furniture,https://www.annejacqueminsablon.fr,https://www.instagram.com/annejacqueminsablon,
