name,city,type,website,instagram,email
The North Face,Paris,clothes,https://www.thenorthface.fr,https://www.instagram.com/thenorthface/,
Ceintures Losco (Sévigné),Paris,clothes,https://www.losco.fr/,,
Ceintures Losco,Paris,clothes,https://losco.fr,,
horsérie,Paris,jewelry,https://www.horserie-paris.com,,
Make my Lemonade,Paris,clothes,https://www.makemylemonade.com/pages/les-boutiques-makemylemonade,https://www.instagram.com/makemylemonade/,
Kann design,Paris,furniture,https://kanndesign.com/,https://www.instagram.com/kann_design/,
Smuggler,Paris,clothes,https://smuggler.fr,https://www.instagram.com/smuggler/?hl=fr,
Noor menswear,Paris,clothes,https://noormenswear.com,,
RoyalCheese,Paris,clothes,https://www.royalcheese.com/,https://www.instagram.com/royalcheeseparis/,
La Cadette,Paris,clothes,https://www.lapetiterockette.org,https://www.instagram.com/lapetiterockette/,
En Voiture SIMONE....,Paris,clothes,https://envoituresimoneparis.fr/,,
Konepa,Paris,clothes,https://www.konepa.com,https://www.instagram.com/konepa_store/,
Jean Marc Philippe,Paris,clothes,https://jeanmarcphilippe.com,https://www.instagram.com/jmp_paris/,
BAPE,Paris,clothes,https://bape.com/,https://www.instagram.com/bape_japan/,
Ba&sh,Paris,clothes,https://ba-sh.com/fr/fr/,,
Akuavi Paris,Paris,clothes,https://www.akuaviparis.com,,
New Rock,Paris,shoes,https://www.newrockparis.fr,https://www.instagram.com/newrock_paris/,
Emmanuelle Zysman,Paris,jewelry,https://www.emmanuellezysman.fr,https://www.instagram.com/emmanuellezysman/,
Le Sourire Multicolore,Paris,clothes,https://lesouriremulticolore.com/,https://www.instagram.com/le_sourire_multicolore/,
Au Vieux Campeur,Paris,shoes,https://www.auvieuxcampeur.fr/boutiques/Paris/chaussures/autres-chaussures-de-marche,https://www.instagram.com/auvieuxcampeur/,
Marie Sixtine,Paris,clothes,https://marie-sixtine.com/,https://www.instagram.com/mariesixtineparis/,
Benoît Joaillier,Paris,jewelry,https://www.benoitjoaillier.com,https://www.instagram.com/benoitjoaillier/,
Onitsuka Tiger,Paris,shoes,https://www.onitsukatiger.com,https://www.instagram.com/onitsukatigerfr/,
La Scarpa,Paris,shoes,https://www.lascarpa-paris.com/,,
Paire & Fils,Paris,shoes,https://fr.pairetfils.com/catalog/shop/entry/1.html,https://www.instagram.com/paire_et_fils/,
La compagnie des ateliers,Paris,furniture,https://www.compagniedesateliers.com,https://www.instagram.com/compagniedesateliers/,
La Sensitive,Paris,clothes,https://lasensitive.wixsite.com/lasensitive,https://www.instagram.com/la_sensitive/,
Petit Bateau,Paris,clothes,https://stores.petit-bateau.com/france/paris/26-rue-vavin,,
AgJc atelier,Paris,jewelry,https://ag-jc.com,https://www.instagram.com/leregard_agjc/,
Big and nice,Paris,clothes,https://www.big-and-nice.fr/,,
La vintagerie,Paris,clothes,https://m.facebook.com/people/La-Vintagerie-Paris/100077182250559/,,
Barbara Bui,Paris,clothes,https://www.barbarabui.com/,https://www.instagram.com/barbarabuiofficial,
La Blouse de Lyon,Paris,clothes,https://lablousedelyon.com/,https://www.instagram.com/lablousedelyon/,
Petit Bateau,Paris,clothes,https://stores.petit-bateau.com/france/paris/32-34-rue-linois,,
Rumelli,Paris,shoes,https://www.rumelliparis.com/,,
Damart,Paris,clothes,https://magasin.damart.fr/45-damart-paris-chatelet,,
Un Jour Ailleurs,Paris,clothes,https://boutique.unjourailleurs.com/fr/mode-femme/boutique-paris-rue-de-rennes-71,https://www.instagram.com/unjourailleursofficiel/,
Fermob,Paris,furniture,https://www.paris.fermob.com/plan-acces-fermob-ledru-rollin/,https://www.instagram.com/fermob/,
Crockett & Jones,Paris,shoes,https://crockettandjones.com,https://www.instagram.com/crockettandjones_official/,
Platinium,Paris,jewelry,https://www.platiniumparis.fr/,https://www.instagram.com/platinium.paris/,
Cedeo,Paris,doityourself,https://www.cedeo.fr/,,
Éléonore Émaldi,Paris,clothes,https://www.emaldi.fr/,,
Parks,Paris,clothes,https://parkslabelstore.com,https://www.instagram.com/parkslabel/,
Finn Austria,Paris,clothes,https://finnaustria.fr,,
Majestic Filatures,Paris,clothes,https://www.majesticfilatures.com,https://www.instagram.com/majesticfilatures/,
Isabel Marant,Paris,clothes,https://www.isabelmarant.com,https://www.instagram.com/isabelmarant/,
Maison Joseph,Paris,shoes,https://www.maison-joseph.fr,https://www.instagram.com/maisonjoseph/,
L'Après-Midi... Aussi,Paris,clothes,http://www.amaussi.com,,
La Canadienne,Paris,clothes,https://www.la-canadienne.com,https://instagram.com/lacanadienne/,
Les Néréides,Paris,jewelry,https://www.lesnereides.com,https://www.instagram.com/lesnereidesparis/?hl=fr,
La Boutique Danoise,Paris,furniture,https://www.laboutiquedanoise.com,https://www.instagram.com/laboutiquedanoise/,
Malfroid,Paris,shoes,https://malfroid.com,https://www.instagram.com/malfroidshoes/,
Lechemiseur,Paris,clothes,https://lechemiseur.fr,https://www.instagram.com/lechemiseur/,
Wicket,Paris,clothes,https://www.wicket.fr,https://instagram.com/wicket.fr,
Milk on the Rocks,Paris,clothes,https://www.milkontherocks.net/,,
KiWi Saint-Tropez,Paris,clothes,https://www.kiwi.fr,https://www.instagram.com/kiwisainttropez/,
Dressing Factory,Paris,clothes,https://www.dressing-factory.com/,,
Kiwi Saint-Tropez,Paris,clothes,https://kiwi.fr/,https://www.instagram.com/kiwisainttropez/,
François Desile,Paris,furniture,https://www.francoisdesile.fr,https://www.instagram.com/francoisdesile/,
meus,Paris,clothes,https://www.meusparis.com/meus-store-paris,https://www.instagram.com/meusparis/?hl=fr,
Beaubien,Paris,clothes,https://beaubienstore.com/,http://instagram.com/beaubienstore,
Hermine de Pashmina,Paris,clothes,https://www.cachemire-hermine.fr,https://www.instagram.com/hermine.cachemire/,
Francine Bramli,Paris,jewelry,https://francine-bramli.com/,,
Manuelle Guibal,Paris,clothes,https://www.manuelleguibal.com/,,
Lorina Balteanu,Paris,jewelry,https://www.lorina-balteanu.com,,
Showroom Tchi Tcha,Paris,clothes,https://www.showroomtchitcha.com,https://www.instagram.com/showroomtchitcha/,
